Severity,Code,Description,Last Change,DN
major,F1425,"IPv4 address(10.222.251.96/24) is operationally down, reason:Interface down on                          node 3127                           fabric hostname DC2-SVR-LEAF-3127",2024-09-19T17:45:22.443+07:00,topology/pod-1/node-3127/sys/ipv4/inst/dom-management/if-[mgmt0]/addr-[10.222.251.96/24]/fault-F1425
critical,F1907,"Management port is down, reason being fail on node 3128 of fabric DC2-ACI-01 with hostname DC2-SVR-LEAF-3128",2024-09-19T17:39:47.707+07:00,topology/pod-1/node-3128/sys/mgmt-[mgmt0]/mgmt/fault-F1907
major,F1425,"IPv4 address(10.222.251.97/24) is operationally down, reason:Interface down on                          node 3128                           fabric hostname DC2-SVR-LEAF-3128",2024-09-19T17:45:47.819+07:00,topology/pod-1/node-3128/sys/ipv4/inst/dom-management/if-[mgmt0]/addr-[10.222.251.97/24]/fault-F1425
critical,F1907,"Management port is down, reason being fail on node 3125 of fabric DC2-ACI-01 with hostname DC2-SVR-LEAF-3125",2024-09-19T17:40:16.336+07:00,topology/pod-1/node-3125/sys/mgmt-[mgmt0]/mgmt/fault-F1907
major,F1425,"IPv4 address(10.222.251.94/24) is operationally down, reason:Interface down on                          node 3125                           fabric hostname DC2-SVR-LEAF-3125",2024-09-19T17:46:16.419+07:00,topology/pod-1/node-3125/sys/ipv4/inst/dom-management/if-[mgmt0]/addr-[10.222.251.94/24]/fault-F1425
critical,F1907,"Management port is down, reason being fail on node 3122 of fabric DC2-ACI-01 with hostname DC2-SVR-LEAF-3122",2025-06-11T00:00:22.370+07:00,topology/pod-1/node-3122/sys/mgmt-[mgmt0]/mgmt/fault-F1907
critical,F0532,"Port is down, reason being linkNotConnected(connected), used by EPG on node 3122 of fabric DC2-ACI-01 with hostname DC2-SVR-LEAF-3122",2025-06-11T00:06:22.518+07:00,topology/pod-1/node-3122/sys/phys-[eth1/48]/phys/fault-F0532
major,F1425,"IPv4 address(10.222.251.91/24) is operationally down, reason:Interface down on                          node 3122                           fabric hostname DC2-SVR-LEAF-3122",2025-06-11T00:04:52.444+07:00,topology/pod-1/node-3122/sys/ipv4/inst/dom-management/if-[mgmt0]/addr-[10.222.251.91/24]/fault-F1425
major,F2397,"PBR service source with destination ip 10.220.245.2 on nodeid 3122 fabric hostname DC2-SVR-LEAF-3122 is in failed state, reason tracked as down.",2025-06-11T00:04:52.444+07:00,topology/pod-1/node-3122/sys/svcredir/inst/dest-[10.220.245.2]-[vxlan-2719745]/fault-F2397
major,F2397,"PBR service source with destination ip 10.220.245.133 on nodeid 3122 fabric hostname DC2-SVR-LEAF-3122 is in failed state, reason tracked as down.",2025-06-11T00:04:52.444+07:00,topology/pod-1/node-3122/sys/svcredir/inst/dest-[10.220.245.133]-[vxlan-2523137]/fault-F2397
major,F2397,"PBR service source with destination ip 10.220.245.130 on nodeid 3122 fabric hostname DC2-SVR-LEAF-3122 is in failed state, reason tracked as down.",2025-06-11T00:04:52.444+07:00,topology/pod-1/node-3122/sys/svcredir/inst/dest-[10.220.245.130]-[vxlan-2523137]/fault-F2397
major,F2397,"PBR service source with destination ip 10.220.245.5 on nodeid 3122 fabric hostname DC2-SVR-LEAF-3122 is in failed state, reason tracked as down.",2025-06-11T00:04:52.444+07:00,topology/pod-1/node-3122/sys/svcredir/inst/dest-[10.220.245.5]-[vxlan-2719745]/fault-F2397
major,F2911,"PBR service health grp common::CRITICAL-EW-FW-ONEARM--ndo--implct::1 on nodeid 3122 fabric hostname DC2-SVR-LEAF-3122 is in failed state, reason Health grp service is down.",2025-06-11T00:04:52.444+07:00,topology/pod-1/node-3122/sys/svcredir/inst/healthgrp-common::CRITICAL-EW-FW-ONEARM--ndo--implct::1/fault-F2911
major,F2911,"PBR service health grp common::CRITICAL-EW-FW-ONEARM--ndo--implct::2 on nodeid 3122 fabric hostname DC2-SVR-LEAF-3122 is in failed state, reason Health grp service is down.",2025-06-11T00:04:52.444+07:00,topology/pod-1/node-3122/sys/svcredir/inst/healthgrp-common::CRITICAL-EW-FW-ONEARM--ndo--implct::2/fault-F2911
major,F2911,"PBR service health grp common::COMM-EW-FW-ONEARM--ndo--implct::1 on nodeid 3122 fabric hostname DC2-SVR-LEAF-3122 is in failed state, reason Health grp service is down.",2025-06-11T00:04:52.444+07:00,topology/pod-1/node-3122/sys/svcredir/inst/healthgrp-common::COMM-EW-FW-ONEARM--ndo--implct::1/fault-F2911
major,F2911,"PBR service health grp common::COMM-EW-FW-ONEARM--ndo--implct::2 on nodeid 3122 fabric hostname DC2-SVR-LEAF-3122 is in failed state, reason Health grp service is down.",2025-06-11T00:04:52.444+07:00,topology/pod-1/node-3122/sys/svcredir/inst/healthgrp-common::COMM-EW-FW-ONEARM--ndo--implct::2/fault-F2911
major,F2995,"PBR service health grp dest ip 10.220.245.130 in vrf common:CRITICAL-VRF on nodeid 3122 fabric hostname DC2-SVR-LEAF-3122 is in failed state, reason : tracked as down",2025-06-11T00:04:52.444+07:00,topology/pod-1/node-3122/sys/svcredir/inst/healthgrp-common::CRITICAL-EW-FW-ONEARM--ndo--implct::1/dest-[10.220.245.130]-[vxlan-2523137]/fault-F2995
major,F2995,"PBR service health grp dest ip 10.220.245.2 in vrf common:COMMON-VRF on nodeid 3122 fabric hostname DC2-SVR-LEAF-3122 is in failed state, reason : tracked as down",2025-06-11T00:04:52.444+07:00,topology/pod-1/node-3122/sys/svcredir/inst/healthgrp-common::COMM-EW-FW-ONEARM--ndo--implct::1/dest-[10.220.245.2]-[vxlan-2719745]/fault-F2995
major,F2995,"PBR service health grp dest ip 10.220.245.5 in vrf common:COMMON-VRF on nodeid 3122 fabric hostname DC2-SVR-LEAF-3122 is in failed state, reason : tracked as down",2025-06-11T00:04:52.444+07:00,topology/pod-1/node-3122/sys/svcredir/inst/healthgrp-common::COMM-EW-FW-ONEARM--ndo--implct::2/dest-[10.220.245.5]-[vxlan-2719745]/fault-F2995
major,F2995,"PBR service health grp dest ip 10.220.245.133 in vrf common:CRITICAL-VRF on nodeid 3122 fabric hostname DC2-SVR-LEAF-3122 is in failed state, reason : tracked as down",2025-06-11T00:04:52.444+07:00,topology/pod-1/node-3122/sys/svcredir/inst/healthgrp-common::CRITICAL-EW-FW-ONEARM--ndo--implct::2/dest-[10.220.245.133]-[vxlan-2523137]/fault-F2995
major,F2833,"PBR service redir grp id 14 on nodeid 3103 fabric hostname DC2-SVR-LEAF-3103 is in failed state, reason tracked as down.",2024-09-26T15:40:40.166+07:00,topology/pod-1/node-3103/sys/svcredir/inst/destgrp-14/fault-F2833
major,F2833,"PBR service redir grp id 15 on nodeid 3103 fabric hostname DC2-SVR-LEAF-3103 is in failed state, reason tracked as down.",2024-09-26T15:40:40.166+07:00,topology/pod-1/node-3103/sys/svcredir/inst/destgrp-15/fault-F2833
major,F2833,"PBR service redir grp id 4 on nodeid 3103 fabric hostname DC2-SVR-LEAF-3103 is in failed state, reason tracked as down.",2024-08-24T03:33:19.389+07:00,topology/pod-1/node-3103/sys/svcredir/inst/destgrp-4/fault-F2833
major,F2833,"PBR service redir grp id 3 on nodeid 3103 fabric hostname DC2-SVR-LEAF-3103 is in failed state, reason tracked as down.",2024-08-24T03:33:19.389+07:00,topology/pod-1/node-3103/sys/svcredir/inst/destgrp-3/fault-F2833
major,F4203,The PBR destination in the PBR destination group on nodeid 3103 fabric hostname DC2-SVR-LEAF-3103 is in failed state. Reason: Service Device is tracked as down,2024-08-24T03:33:19.389+07:00,topology/pod-1/node-3103/sys/svcredir/inst/destgrp-3/rsdestAtt-[topology/pod-1/node-3103/sys/svcredir/inst/dest-[10.220.245.130]-[vxlan-2523137]]/fault-F4203
major,F2911,"PBR service health grp common::CRITICAL-EW-FW-ONEARM--ndo--implct::1 on nodeid 3103 fabric hostname DC2-SVR-LEAF-3103 is in failed state, reason Health grp service is down.",2024-08-24T03:33:19.389+07:00,topology/pod-1/node-3103/sys/svcredir/inst/healthgrp-common::CRITICAL-EW-FW-ONEARM--ndo--implct::1/fault-F2911
major,F2911,"PBR service health grp common::CRITICAL-EW-FW-ONEARM--ndo--implct::2 on nodeid 3103 fabric hostname DC2-SVR-LEAF-3103 is in failed state, reason Health grp service is down.",2024-08-24T03:33:19.389+07:00,topology/pod-1/node-3103/sys/svcredir/inst/healthgrp-common::CRITICAL-EW-FW-ONEARM--ndo--implct::2/fault-F2911
major,F2995,"PBR service health grp dest ip 10.220.245.133 in vrf common:CRITICAL-VRF on nodeid 3103 fabric hostname DC2-SVR-LEAF-3103 is in failed state, reason : tracked as down",2024-08-24T03:33:19.389+07:00,topology/pod-1/node-3103/sys/svcredir/inst/healthgrp-common::CRITICAL-EW-FW-ONEARM--ndo--implct::2/dest-[10.220.245.133]-[vxlan-2523137]/fault-F2995
major,F2995,"PBR service health grp dest ip 10.220.245.130 in vrf common:CRITICAL-VRF on nodeid 3103 fabric hostname DC2-SVR-LEAF-3103 is in failed state, reason : tracked as down",2024-08-24T03:33:19.389+07:00,topology/pod-1/node-3103/sys/svcredir/inst/healthgrp-common::CRITICAL-EW-FW-ONEARM--ndo--implct::1/dest-[10.220.245.130]-[vxlan-2523137]/fault-F2995
major,F2397,"PBR service source with destination ip 10.220.245.130 on nodeid 3103 fabric hostname DC2-SVR-LEAF-3103 is in failed state, reason tracked as down.",2024-08-24T03:33:19.389+07:00,topology/pod-1/node-3103/sys/svcredir/inst/dest-[10.220.245.130]-[vxlan-2523137]/fault-F2397
major,F4203,The PBR destination in the PBR destination group on nodeid 3103 fabric hostname DC2-SVR-LEAF-3103 is in failed state. Reason: Service Device is tracked as down,2024-08-24T03:33:19.389+07:00,topology/pod-1/node-3103/sys/svcredir/inst/destgrp-4/rsdestAtt-[topology/pod-1/node-3103/sys/svcredir/inst/dest-[10.220.245.133]-[vxlan-2523137]]/fault-F4203
major,F2397,"PBR service source with destination ip 10.220.245.133 on nodeid 3103 fabric hostname DC2-SVR-LEAF-3103 is in failed state, reason tracked as down.",2024-08-24T03:33:19.389+07:00,topology/pod-1/node-3103/sys/svcredir/inst/dest-[10.220.245.133]-[vxlan-2523137]/fault-F2397
