Severity,Code,Description,Last Change,DN
major,F4203,The PBR destination in the PBR destination group on nodeid 2103 fabric hostname DRC-SVR-LEAF-2103-LT1 is in failed state. Reason: Service Device is tracked as down,2024-09-26T13:46:40.302+00:00,topology/pod-1/node-2103/sys/svcredir/inst/destgrp-1/rsdestAtt-[topology/pod-1/node-2103/sys/svcredir/inst/dest-[10.220.245.130]-[vxlan-2686977]]/fault-F4203
major,F2911,"PBR service health grp common::CRITICAL-EW-FW-ONEARM--ndo--implct::1 on nodeid 2103 fabric hostname DRC-SVR-LEAF-2103-LT1 is in failed state, reason Health grp service is down.",2024-09-26T13:46:40.302+00:00,topology/pod-1/node-2103/sys/svcredir/inst/healthgrp-common::CRITICAL-EW-FW-ONEARM--ndo--implct::1/fault-F2911
major,F2995,"PBR service health grp dest ip 10.220.245.130 in vrf common:CRITICAL-VRF on nodeid 2103 fabric hostname DRC-SVR-LEAF-2103-LT1 is in failed state, reason : tracked as down",2024-09-26T13:46:40.302+00:00,topology/pod-1/node-2103/sys/svcredir/inst/healthgrp-common::CRITICAL-EW-FW-ONEARM--ndo--implct::1/dest-[10.220.245.130]-[vxlan-2686977]/fault-F2995
major,F2911,"PBR service health grp common::CRITICAL-EW-FW-ONEARM--ndo--implct::3 on nodeid 2103 fabric hostname DRC-SVR-LEAF-2103-LT1 is in failed state, reason Health grp service is down.",2024-09-26T13:46:40.302+00:00,topology/pod-1/node-2103/sys/svcredir/inst/healthgrp-common::CRITICAL-EW-FW-ONEARM--ndo--implct::3/fault-F2911
major,F2995,"PBR service health grp dest ip 10.220.245.136 in vrf common:CRITICAL-VRF on nodeid 2103 fabric hostname DRC-SVR-LEAF-2103-LT1 is in failed state, reason : tracked as down",2024-09-26T13:46:40.302+00:00,topology/pod-1/node-2103/sys/svcredir/inst/healthgrp-common::CRITICAL-EW-FW-ONEARM--ndo--implct::3/dest-[10.220.245.136]-[vxlan-2686977]/fault-F2995
major,F2833,"PBR service redir grp id 6 on nodeid 2103 fabric hostname DRC-SVR-LEAF-2103-LT1 is in failed state, reason tracked as down.",2025-02-21T08:27:22.291+00:00,topology/pod-1/node-2103/sys/svcredir/inst/destgrp-6/fault-F2833
major,F2833,"PBR service redir grp id 7 on nodeid 2103 fabric hostname DRC-SVR-LEAF-2103-LT1 is in failed state, reason tracked as down.",2025-02-21T08:27:22.291+00:00,topology/pod-1/node-2103/sys/svcredir/inst/destgrp-7/fault-F2833
major,F4203,The PBR destination in the PBR destination group on nodeid 2103 fabric hostname DRC-SVR-LEAF-2103-LT1 is in failed state. Reason: Service Device is tracked as down,2025-02-21T08:27:22.291+00:00,topology/pod-1/node-2103/sys/svcredir/inst/destgrp-6/rsdestAtt-[topology/pod-1/node-2103/sys/svcredir/inst/dest-[10.220.245.8]-[vxlan-3014656]]/fault-F4203
major,F2397,"PBR service source with destination ip 10.220.245.8 on nodeid 2103 fabric hostname DRC-SVR-LEAF-2103-LT1 is in failed state, reason tracked as down.",2025-02-21T08:27:22.291+00:00,topology/pod-1/node-2103/sys/svcredir/inst/dest-[10.220.245.8]-[vxlan-3014656]/fault-F2397
major,F2397,"PBR service source with destination ip 10.220.245.2 on nodeid 2103 fabric hostname DRC-SVR-LEAF-2103-LT1 is in failed state, reason tracked as down.",2025-02-21T08:27:22.291+00:00,topology/pod-1/node-2103/sys/svcredir/inst/dest-[10.220.245.2]-[vxlan-3014656]/fault-F2397
