Severity,Code,Description,Last Change,DN
major,F2911,"PBR service health grp common::CRITICAL-EW-FW-ONEARM--ndo--implct::3 on nodeid 1102 fabric hostname DC-SVR-LEAF-1102-LT3 is in failed state, reason Health grp service is down.",2025-09-19T00:43:43.804+07:00,topology/pod-1/node-1102/sys/svcredir/inst/healthgrp-common::CRITICAL-EW-FW-ONEARM--ndo--implct::3/fault-F2911
major,F2995,"PBR service health grp dest ip 10.220.245.133 in vrf common:CRITICAL-VRF on nodeid 1102 fabric hostname DC-SVR-LEAF-1102-LT3 is in failed state, reason : tracked as down",2025-09-19T00:43:43.804+07:00,topology/pod-1/node-1102/sys/svcredir/inst/healthgrp-common::CRITICAL-EW-FW-ONEARM--ndo--implct::2/dest-[10.220.245.133]-[vxlan-2457600]/fault-F2995
major,F2995,"PBR service health grp dest ip 10.220.245.136 in vrf common:CRITICAL-VRF on nodeid 1102 fabric hostname DC-SVR-LEAF-1102-LT3 is in failed state, reason : tracked as down",2025-09-19T00:43:43.804+07:00,topology/pod-1/node-1102/sys/svcredir/inst/healthgrp-common::CRITICAL-EW-FW-ONEARM--ndo--implct::3/dest-[10.220.245.136]-[vxlan-2457600]/fault-F2995
critical,F0532,"Port is down, reason being linkNotConnected(connected), used by EPG on node 1111 of fabric DC-ACI-01 with hostname DC-SVR-LEAF-1111-LT3",2024-09-06T23:01:43.201+07:00,topology/pod-1/node-1111/sys/phys-[eth1/48]/phys/fault-F0532
major,F2833,"PBR service redir grp id 5 on nodeid 1111 fabric hostname DC-SVR-LEAF-1111-LT3 is in failed state, reason tracked as down.",2025-02-18T21:52:35.752+07:00,topology/pod-1/node-1111/sys/svcredir/inst/destgrp-5/fault-F2833
major,F4203,The PBR destination in the PBR destination group on nodeid 1111 fabric hostname DC-SVR-LEAF-1111-LT3 is in failed state. Reason: Service Device is tracked as down,2025-02-18T21:52:35.752+07:00,topology/pod-1/node-1111/sys/svcredir/inst/destgrp-5/rsdestAtt-[topology/pod-1/node-1111/sys/svcredir/inst/dest-[10.220.245.34]-[vxlan-2195456]]/fault-F4203
major,F2397,"PBR service source with destination ip 10.220.245.34 on nodeid 1111 fabric hostname DC-SVR-LEAF-1111-LT3 is in failed state, reason tracked as down.",2025-02-18T21:52:35.752+07:00,topology/pod-1/node-1111/sys/svcredir/inst/dest-[10.220.245.34]-[vxlan-2195456]/fault-F2397
major,F2911,"PBR service health grp common::COMM-NS-FW-ONEARM--ndo--implct on nodeid 1111 fabric hostname DC-SVR-LEAF-1111-LT3 is in failed state, reason Health grp service is down.",2025-02-18T21:52:35.752+07:00,topology/pod-1/node-1111/sys/svcredir/inst/healthgrp-common::COMM-NS-FW-ONEARM--ndo--implct/fault-F2911
major,F2995,"PBR service health grp dest ip 10.220.245.34 in vrf common:COMMON-VRF on nodeid 1111 fabric hostname DC-SVR-LEAF-1111-LT3 is in failed state, reason : tracked as down",2025-02-18T21:52:35.752+07:00,topology/pod-1/node-1111/sys/svcredir/inst/healthgrp-common::COMM-NS-FW-ONEARM--ndo--implct/dest-[10.220.245.34]-[vxlan-2195456]/fault-F2995
major,F2833,"PBR service redir grp id 1 on nodeid 1111 fabric hostname DC-SVR-LEAF-1111-LT3 is in failed state, reason tracked as down.",2024-09-06T23:00:43.192+07:00,topology/pod-1/node-1111/sys/svcredir/inst/destgrp-1/fault-F2833
major,F2833,"PBR service redir grp id 3 on nodeid 1111 fabric hostname DC-SVR-LEAF-1111-LT3 is in failed state, reason tracked as down.",2024-09-06T23:00:43.192+07:00,topology/pod-1/node-1111/sys/svcredir/inst/destgrp-3/fault-F2833
major,F4203,The PBR destination in the PBR destination group on nodeid 1111 fabric hostname DC-SVR-LEAF-1111-LT3 is in failed state. Reason: Service Device is tracked as down,2024-09-06T23:00:43.192+07:00,topology/pod-1/node-1111/sys/svcredir/inst/destgrp-1/rsdestAtt-[topology/pod-1/node-1111/sys/svcredir/inst/dest-[10.220.245.5]-[vxlan-2195456]]/fault-F4203
major,F2397,"PBR service source with destination ip 10.220.245.5 on nodeid 1111 fabric hostname DC-SVR-LEAF-1111-LT3 is in failed state, reason tracked as down.",2024-09-06T23:00:43.192+07:00,topology/pod-1/node-1111/sys/svcredir/inst/dest-[10.220.245.5]-[vxlan-2195456]/fault-F2397
major,F4203,The PBR destination in the PBR destination group on nodeid 1111 fabric hostname DC-SVR-LEAF-1111-LT3 is in failed state. Reason: Service Device is tracked as down,2024-09-06T23:00:43.192+07:00,topology/pod-1/node-1111/sys/svcredir/inst/destgrp-3/rsdestAtt-[topology/pod-1/node-1111/sys/svcredir/inst/dest-[10.220.245.8]-[vxlan-2195456]]/fault-F4203
major,F2397,"PBR service source with destination ip 10.220.245.8 on nodeid 1111 fabric hostname DC-SVR-LEAF-1111-LT3 is in failed state, reason tracked as down.",2024-09-06T23:00:43.192+07:00,topology/pod-1/node-1111/sys/svcredir/inst/dest-[10.220.245.8]-[vxlan-2195456]/fault-F2397
major,F2911,"PBR service health grp common::COMM-EW-FW-ONEARM--ndo--implct::3 on nodeid 1111 fabric hostname DC-SVR-LEAF-1111-LT3 is in failed state, reason Health grp service is down.",2024-09-06T23:00:43.192+07:00,topology/pod-1/node-1111/sys/svcredir/inst/healthgrp-common::COMM-EW-FW-ONEARM--ndo--implct::3/fault-F2911
major,F2995,"PBR service health grp dest ip 10.220.245.8 in vrf common:COMMON-VRF on nodeid 1111 fabric hostname DC-SVR-LEAF-1111-LT3 is in failed state, reason : tracked as down",2024-09-06T23:00:43.192+07:00,topology/pod-1/node-1111/sys/svcredir/inst/healthgrp-common::COMM-EW-FW-ONEARM--ndo--implct::3/dest-[10.220.245.8]-[vxlan-2195456]/fault-F2995
major,F2911,"PBR service health grp common::COMM-EW-FW-ONEARM--ndo--implct::2 on nodeid 1111 fabric hostname DC-SVR-LEAF-1111-LT3 is in failed state, reason Health grp service is down.",2024-09-06T23:00:43.192+07:00,topology/pod-1/node-1111/sys/svcredir/inst/healthgrp-common::COMM-EW-FW-ONEARM--ndo--implct::2/fault-F2911
major,F2995,"PBR service health grp dest ip 10.220.245.5 in vrf common:COMMON-VRF on nodeid 1111 fabric hostname DC-SVR-LEAF-1111-LT3 is in failed state, reason : tracked as down",2024-09-06T23:00:43.192+07:00,topology/pod-1/node-1111/sys/svcredir/inst/healthgrp-common::COMM-EW-FW-ONEARM--ndo--implct::2/dest-[10.220.245.5]-[vxlan-2195456]/fault-F2995
major,F2397,"PBR service source with destination ip 10.220.245.136 on nodeid 1103 fabric hostname DC-SVR-LEAF-1103-LT3 is in failed state, reason tracked as down.",2024-09-06T23:04:04.407+07:00,topology/pod-1/node-1103/sys/svcredir/inst/dest-[10.220.245.136]-[vxlan-2457600]/fault-F2397
major,F2397,"PBR service source with destination ip 10.220.245.8 on nodeid 1103 fabric hostname DC-SVR-LEAF-1103-LT3 is in failed state, reason tracked as down.",2024-09-06T23:04:04.407+07:00,topology/pod-1/node-1103/sys/svcredir/inst/dest-[10.220.245.8]-[vxlan-2195456]/fault-F2397
major,F2397,"PBR service source with destination ip 10.220.245.5 on nodeid 1103 fabric hostname DC-SVR-LEAF-1103-LT3 is in failed state, reason tracked as down.",2024-09-06T23:04:04.407+07:00,topology/pod-1/node-1103/sys/svcredir/inst/dest-[10.220.245.5]-[vxlan-2195456]/fault-F2397
major,F2397,"PBR service source with destination ip 10.220.245.133 on nodeid 1103 fabric hostname DC-SVR-LEAF-1103-LT3 is in failed state, reason tracked as down.",2024-09-06T23:04:04.407+07:00,topology/pod-1/node-1103/sys/svcredir/inst/dest-[10.220.245.133]-[vxlan-2457600]/fault-F2397
major,F2911,"PBR service health grp common::CRITICAL-EW-FW-ONEARM--ndo--implct::3 on nodeid 1103 fabric hostname DC-SVR-LEAF-1103-LT3 is in failed state, reason Health grp service is down.",2024-09-06T23:04:04.407+07:00,topology/pod-1/node-1103/sys/svcredir/inst/healthgrp-common::CRITICAL-EW-FW-ONEARM--ndo--implct::3/fault-F2911
major,F2911,"PBR service health grp common::CRITICAL-EW-FW-ONEARM--ndo--implct::2 on nodeid 1103 fabric hostname DC-SVR-LEAF-1103-LT3 is in failed state, reason Health grp service is down.",2024-09-06T23:04:04.407+07:00,topology/pod-1/node-1103/sys/svcredir/inst/healthgrp-common::CRITICAL-EW-FW-ONEARM--ndo--implct::2/fault-F2911
